id,title,content,alt-names,category,context triggers,sustainability nudge
1,Tsurugaoka Hachimangū,"Founded in 1063 and moved to its present site by Minamoto no Yoritomo in 1180, Tsurugaoka Hachimangū is Kamakura’s most important Shinto shrine. It enshrines Hachiman, the patron deity of warriors, and played a central role in the city’s political and cultural life during the Kamakura shogunate. Today it’s famous for its long approach, lotus ponds, and seasonal festivals like Yabusame (archery on horseback).","鶴岡八幡宮, Hachimangū Shrine, Kamakura Hachiman",shrines_shinto,GPS: near Kamakura stations; User asks “Kamakura shrine” / “Yoritomo” / “samurai”,The shrine is only a short walk from Kamakura Station—skip the taxi and enjoy the pedestrian shopping street along the way.
2,Kōtoku-in,"Kōtoku-in is a Buddhist temple of the Jōdo sect, best known for its monumental bronze statue of Amida Buddha, the “Great Buddha of Kamakura.” The statue was cast in 1252 and originally housed in a hall, but after multiple typhoons and a tsunami, it has stood in the open air since the 15th century. At about 11 meters tall and weighing over 120 tons, it’s one of Japan’s most iconic religious images and a national treasure. Visitors can even step inside the statue’s hollow interior.","高徳院, Daibutsu, Great Buddha of Kamakura",temples_zen,GPS: near Hase Station; User asks “Great Buddha” / “Daibutsu” / “Kōtoku-in”,"“Walk or cycle from Hase Station instead of taking a taxi—this small neighborhood is best enjoyed slowly, and you’ll pass local shops and cafés along the way.”"
3,Hase-dera,"Hase-dera is a Buddhist temple famous for its eleven-headed statue of Kannon, the goddess of mercy, which stands nearly 10 meters tall. The temple grounds also feature a cave with carvings of Benzaiten, beautiful gardens, and panoramic views of Kamakura’s coastline.","長谷寺, Hase Kannon, Hase-dera Temple",temples_zen,GPS: near Hase Station; User asks “Kannon statue” / “Hase temple” / “sea view temple”,“Climb the steps slowly and take breaks in the gardens—rushing means missing the seasonal flowers that the temple is known for.”
4,Engaku-ji,"Founded in 1282 by the regent Hōjō Tokimune after the Mongol invasions, Engaku-ji is one of Kamakura’s leading Zen temples. It’s known for its great wooden gate, the Shariden hall (a national treasure), and a tranquil setting surrounded by forest.","円覚寺, Engakuji, Zen temple of Kamakura",temples_zen,GPS: near Kita-Kamakura Station; User asks “Zen temple” / “Shariden” / “Engakuji”,“Arrive early in the morning when it’s quieter—you’ll avoid crowds and experience the temple’s atmosphere as intended by Zen practice.”
5,Kenchō-ji,"Established in 1253, Kenchō-ji is the oldest Zen training monastery in Japan. The temple complex includes a towering Sanmon gate, a lecture hall, and Zen gardens designed by the master Musō Soseki. It remains an active center of Rinzai Zen practice.","建長寺, Kenchoji, Kamakura Zen",temples_zen,GPS: near Kita-Kamakura; User asks “oldest Zen temple” / “Kenchoji” / “Musō Soseki”,“Explore on foot between Engaku-ji and Kenchō-ji—the walk is part of the temple experience and cuts down on unnecessary transport.”
6,Jōmyō-ji,"Jōmyō-ji is a quieter Zen temple in Kamakura, also dating to the 13th century. Visitors can enjoy a more meditative atmosphere compared to the larger temples, with a restored teahouse where visitors can sip on matcha while looking out over a serene Zen garden.","浄妙寺, Jomyoji, Kamakura tea temple",temples_zen,GPS: east Kamakura; User asks “tea house temple” / “quiet Zen” / “Jomyoji”,"“Skip the taxi—the approach road is narrow and best experienced on foot, giving you a chance to enjoy the residential neighborhood.”"
7,Meigetsu-in,"Nicknamed the “Hydrangea Temple,” Meigetsu-in is a Rinzai Zen temple founded in 1160. It’s especially famous in June when thousands of hydrangeas bloom. The temple also features a round window framing the garden like a painting.","明月院, Hydrangea Temple, Meigetsuin, Ajisaidera",temples_zen,GPS: Kita-Kamakura; User asks “hydrangea temple” / “Meigetsuin” / “round window”,“Visit outside peak hydrangea season for a quieter experience—you’ll still see the temple’s famous gardens while easing crowd pressure.”
8,Hōkoku-ji ,"Established in 1334 by Tengan Eko to commemorate Ashikaga Ietoki, Hōkoku-ji is a quiet little temple renowned for its extensive bamboo grove and teahouse as well as its lovely gardens. It’s part of the Kenchō-ji school of the Rinzai sect.","報国寺, Bamboo Temple",temples_zen,GPS: near Kamakura Station; User asks “Bamboo Temple” / “Ashikaga” / “Zen temple”,“Take a moment as you walk through the bamboo grove to practice mindful breathing. It’s a peaceful spot for reflection.”
9,Zeniarai Benzaiten ,"Founded circa 1185 by Minamoto no Yoritomo, this Shinto shrine is famous for its spring water believed to multiply money washed in it. The shrine is dedicated to Ugafukujin and Benzaiten, blending Shinto and Buddhist elements.","銭洗弁財天宇賀福神, 社銭洗弁天, Ugafuku Shrine",shrines_shinto,GPS: near Kamakura Station; User asks “money shrine” / “Benten” / “coin washing”,"“To wash your coins, buy a candle and make a prayer, then place the coins in the bamboo tray and ladle the holy spring water over them.”"
10,Sasuke Inari Jinja,"Tradition holds that this shrine was created by Minamoto no Yoritomo after a dream vision in which he was visited by Inari's fox messengers. It’s located near Zeniarai Benzaiten and is associated with the Hidden Village of Kamakura, believed to be the origin of ninja lore.","佐助稲荷神社, Sasuke Shrine",shrines_shinto,GPS: near Kamakura Station; User asks “Inari shrine” / “ninja” / “hidden village”,“Here’s your chance to walk through a stunning tunnel of vermillion torii gates without the crowds you’ll find at Kyoto’s Fushimi Inari.”
11,Gokuraku-ji ,"Founded in 1259 by Hōjō Shigetoki , this is Kamakura's only Shingon Buddhist temple. Shigetoki wanted to support the work of the great philanthropist monk Ninshō, who dedicated his life to helping the sick, poor, and abandoned. Ninshō became the temple's first abbott. ",極楽寺,temples_zen,GPS: near Kamakura Station; User asks “Shingon temple” / “Gokurakuji”,"“Take the time to admire the charmingly retro Gokurakuji Station, which appears in a popular Japanese TV series.”"
12,Myōhon-ji ,"Established in 1260 by Hiki Yoshimoto, this Nichiren sect temple was built to console the souls of the Hiki family, who were victims of political intrigue. It’s one of the oldest Nichiren temples in Kamakura and one of Kamakura's premier sakura viewing spots.",妙本寺,temples_zen,GPS: near Kamakura Station; User asks “Nichiren temple” / “Hiki family” / “Myohonji”,“Take advantage of quiet early mornings before the day-trippers arrive.”
13,Ankokuron-ji,"This Nichiren sect temple is one of a group of three built in Matsubagayatsu, or Valley of Pine Needles. It's a central landmark in the early history of Nichiren Buddhism, because sect founder Nichiren lived and preached there, as well as composing his influential treatise Risshō Ankokuron in a cave on the grounds.","安国論寺, Nichiren's Cave Temple",temples_zen,GPS: near Zaimokuza; User asks “Nichiren temple” / “Risshō Ankoku Ron” / “Matsubagayatsu”,“Climb the hill behind the temple for a panoramic view of Kamakura and the ocean—a peaceful spot for reflection.”
14,Zuisen-ji,"Zuisen-ji is a Buddhist temple founded in 1327 by the Zen priest, poet, and garden designer Musō Soseki, and the rock garden behind the main hall was designed by Musō himself. The cave in the corner was once used for Zen meditation. ","瑞泉寺, Flower Temple",temples_zen,GPS: near Nikaidō; User asks “Musō Soseki” / “flower temple” / “Momijigayatsu”,“Take a moment to enjoy the seasonal flowers in the temple's garden—it’s a serene spot for nature lovers.”
15,Jōchi-ji,Jōchi-ji is one of Kamakura's five great Zen temples.  It was founded in the late 13th century by members of the ruling Hōjō  family mourning the premature death of a son. The Daibutsu hiking trai to the Great Buddha starts next to the temple. ,"浄智寺, Zen Temple of the North",temples_zen,GPS: near Kita-Kamakura; User asks “Engaku-ji” / “Hojo Munemasa” / “Rinzai sect”,“Explore the bamboo groves and cave graves behind the main hall—they offer a glimpse into Kamakura's spiritual history.”
16,Jufuku-ji,"Jufuku-ji is a Buddhist temple of the Kenchō-ji branch of the Rinzai sect, built in 1200 by Hōjō Masako, the wife of Minamoto no Yoritomo, to enshrine her husband, and opened by the priest Eisai, the father of Zen Buddhism in Japan.","寿福寺, Temple of Longevity",temples_zen,GPS: near Kamakura Station; User asks “Kenchō-ji” / “Hōjō Masako” / “Zen temple”,"“Visitors are usally only allowed as far as the chũmon gate, but the morning light is amazing.”"
17,Sugimoto-dera,"Sugimoto-dera is considered the oldest temple in Kamakura, founded in 734. The name means ""under the cedar tree,"" celebrating the three 11-faced Kannon statues that took themselves out to shelter under a cedar to escape a huge fire back in the Kamakura period.","杉本寺, Temple under the Cryptomeria Tree",temples_zen,GPS: near Kamakura Station; User asks “Gyōki” / “Jūichimen Kannon” / “oldest temple”,“Take a moment to appreciate the moss-covered steps leading to the temple—they add to the serene atmosphere.”
18,Goryo Shrine,"Goryo Shrine honors  a brave samurai famed for his heroic actions during the Gosannen War Period, but these days it's also known as a filming location for a popular TV series, with the Enoden train passing directly in front of the torii gate.","御霊神社, Shrine of the Brave Samurai",shrines_shinto,GPS: near Yuigahama; User asks “Goryo Shrine” / “brave samurai” / “historical shrine”,“Explore the hydrangea gardens in June—they bloom beautifully and add to the shrine's tranquil setting.”
19,Joju-in,Joju-in was built in 1219 by Hōjō Yasutoki and served as a citadel for the defense of Kamakura. He chose the site because Kōbō Daishi performed a sacred fire ritural there for 100 days during his nationwide pilgrimage in the Heian era. ,"成就院, Yasutoki’s watchtower temple",temples_zen,GPS: near Gokuraku-ji; User asks “Shingon sect” / “Kukai” / “Hojo family”,“Wander the  nostalgic streets and small cafes around the temple for a taste of local Kamakura life.”
20,Amanawa Shinmei Shrine,"Believed to be the oldest Shintō shrine in Kamakura, Amanawa Shinmei is dedicated to the sun goddess Amaterasu. Tucked into the hillside with a steep stair approach, it has a quiet, spiritual atmosphere far from the crowds.","甘縄神明神社, Amanawa Jinja, Shinmei Shrine",shrines_shinto,GPS: near Hase area; User asks “oldest shrine” / “Amaterasu” / “hidden shrine”,“Climb quietly and tread carefully on the steep steps—shrines like this are preserved by keeping visitor impact low.”
21,Kōsoku-ji ,"Founded by Nichiren disciple Nichirō, this quiet Nichiren temple has stunning natural gardens full of songbirds. Out past the cemetery is an old dungeon where five Nichiren disciples were once held by the owner Mitsunori Yadoya, who later converted to Nichiren from Zen.","光則寺, Kosokuji Temple, Hydrangea Temple",temples_zen,GPS: near Hasedera; User asks “crab apple temple” / “Kosokuji” ,“Visit this temple to escape the crowds and admire the 150-year-old crab apple tree.”
22,Hōkai-ji,"Constructed in 1335 by order of Emperor Godaigo to commemorate the defeated Hōjō clan, Hōkai-ji is a Tendai temple with memorials and ancestral tablets for Kamakura’s former rulers. The first stop on the Kamakura 24 Jizo Pilgrimage, it's a place of both history and mourning.","宝戒寺, Hōkai Temple, Hojo clan memorial historical site",temples_zen,GPS: near Kamakura City Hall; User asks “Hōjō clan” / “fall of Kamakura” / “Takauji”,“Treat this site with the same respect you would a cemetery—move quietly and avoid posing for selfies at memorials.”
23,Daigyō-ji,"A small Nichiren temple associated with the story of Nichiren hiding there during persecution. Known affectionately as “Onmesama,” it offers comfort and spiritual support to expecting mothers and their families, including special o-mamori charms for safe childbirth.","大巧寺, Daigyoji Temple",temples_zen,GPS: near Yuigahama; User asks “Nichiren refuge” / “quiet temple” / “Daigyoji”,"“Consider this temple as an alternative stop—by visiting smaller sites, you help reduce the strain on Kamakura’s most crowded temples.”"
24,Jōkōmyō-ji,"Jokomyoji Temple was the family temple of the Hojo clan and the Ashikaga clan. The Amida Triad statues in the treasure house feature the unique domon style of the Kamakura Period, in which clay decorations were made in molds and applied to the statues. ","浄光明寺, Jokomyōji, Gozan temple",temples_zen,"GPS: near Kamegayatsu-zaka Pass; User asks  ""Jokomyōji” / “Zen temple” / “Enshū garden”",“Move slowly and mindfully in the grounds to savour the history embodied in this ancient temple.”
25,Hongaku-ji ,"Founded in 1436, Hongaku-ji is home to the Ebisu-dō Hall, originally built by Minamoto no Yoritomo as a tutelary hall for the shogunate. Today the hall houses a stunning Shakyamuni Buddha statue, designated as a cultural property by Kamakura City.","本覚寺, Hongakuji Temple, Nichiren temple",temples_zen,GPS: near Kamakura Station east side; User asks “Nichiren statue” / “Hongakuji” / “Nichiren temple”,"“Early mornings offer a quieter chance to explore, especially when paired with breakfast at a local café or bakery.”"
26,Kuzuharaoka-jinja,"A Shintō shrine set in forested hills, popular for its matchmaking charms as well as the symbolic “cup-breaking” ritual to ward off bad luck and invite happiness. Located along the popular Daibutsu Hiking Course, it's the perfect spot for a short break","葛原岡神社, Kuzuharaoka Shrine, Matchmaking shrine",shrines_shinto,GPS: on the Daibutsu hiking trail; User asks “matchmaking shrine” / “cup-breaking ritual” / “hiking shrine”,"""When hiking in the hills, remember to pack out your litter and leave no trace, preserving the natural beauty."""
